ayet_numarasi,ayet
Yu.1: 1,Başlangıçta Söz vardı. Söz Tanrı'yla birlikteydi ve Söz Tanrı'ydı.
Yu.1: 2,"Başlangıçta O, Tanrı'yla birlikteydi."
Yu.1: 3,"Her şey O'nun aracılığıyla var oldu, var olan hiçbir şey O'nsuz olmadı."
Yu.1: 4,Yaşam O'ndaydı ve yaşam insanların ışığıydı.
Yu.1: 5,Işık karanlıkta parlar. Karanlık onu alt edemedi .
Yu.1: 6,Tanrı'nın gönderdiği Yahya adlı bir adam ortaya çıktı.
Yu.1: 7,"Tanıklık amacıyla, ışığa tanıklık etsin ve herkes onun aracılığıyla iman etsin diye geldi."
Yu.1: 8,"Kendisi ışık değildi, ama ışığa tanıklık etmeye geldi."
Yu.1: 9,"Dünyaya gelen, her insanı aydınlatan gerçek ışık vardı."
Yu.1: 10,"O, dünyadaydı, dünya O'nun aracılığıyla var oldu, ama dünya O'nu tanımadı."
Yu.1: 11,"Kendi yurduna geldi, ama kendi halkı O'nu kabul etmedi."
Yu.1: 12,Kendisini kabul edip adına iman edenlerin hepsine Tanrı'nın çocukları olma hakkını verdi.
Yu.1: 13,"Onlar ne kandan, ne beden ne de insan isteğinden doğdular; tersine, Tanrı'dan doğdular."
Yu.1: 14,"Söz, insan olup aramızda yaşadı. O'nun yüceliğini Baba'dan gelen, lütuf ve gerçekle dolu biricik Oğul'un yüceliğini gördük."
Yu.1: 15,"Yahya O'na tanıklık etti. Yüksek sesle şöyle dedi: ""'Benden sonra gelen benden üstündür. Çünkü O benden önce vardı' diye sözünü ettiğim kişi budur."""
Yu.1: 16,Nitekim hepimiz O'nun doluluğundan lütuf üzerine lütuf aldık.
Yu.1: 17,"Kutsal Yasa Musa aracılığıyla verildi, ama lütuf ve gerçek İsa Mesih aracılığıyla geldi."
Yu.1: 18,Tanrı'yı hiçbir zaman hiç kimse görmedi. Baba'nın bağrında bulunan ve Tanrı olan biricik Oğul O'nu tanıttı. Yahya'nın Ortaya Çıkışı (
